"","title","authors","average_rating","isbn13","language_code","num_pages","ratings_count","text_reviews_count","publication_date","publisher","publication_year","page_range"
"721","CliffsNotes on Faulkner's The Sound and the Fury (Cliffs Notes)","James Lamar Roberts/William Faulkner/CliffsNotes",3.74,"9780822012191","en-GB",72,30,9,1963-10-03,"Cliffs Notes",1963,"51-150"
"722","Cliffs Notes on Woolf's Mrs. Dalloway","Gary K. Carey",3.09,"9780764544576","eng",72,10,2,2003-12-12,"Cliffs Notes",2003,"51-150"
"723","The Tale of Peter Rabbit","Beatrix Potter",4.18,"9780723247708","eng",72,188842,1575,2002-03-07,"Warne",2002,"51-150"
"724","The Girl With The Golden Eyes","Honoré de Balzac",3.35,"9781419163869","eng",72,801,56,2004-06-17,"Kessinger Publishing",2004,"51-150"
"725","Combray (Remembrance of Things Past  #1)","Stéphane Heuet/Marcel Proust/Joe  Johnson",3.79,"9781561632893","eng",72,36,9,2001-01-01,"Nantier Beall Minoustchine Publishing",2001,"51-150"
"726","Deluxe Encyclopedia of Mandolin Chords","John  Baxter/Mel Bay",3.83,"9780786647972","eng",72,6,0,2000-03-01,"Mel Bay Publications  Inc.",2000,"51-150"
"727","Snow","Roy McKie/P.D. Eastman",4.15,"9780394800271","eng",72,4383,88,1962-10-12,"Random House",1962,"51-150"
"728","Frankenstein (SparkNotes Literature Guide)","SparkNotes/Mary Wollstonecraft Shelley",3.5,"9781586633578","eng",72,16,0,2002-01-10,"SparkNotes",2002,"51-150"
"729","Mercy Watson Goes for a Ride","Kate DiCamillo/Chris Van Dusen",4.15,"9780763623326","eng",72,4162,332,2006-05-09,"Candlewick Press",2006,"51-150"
"730","One Flew Over the Cuckoo's Nest (SparkNotes Literature Guide)","SparkNotes/Ken Kesey",4.13,"9781586633790","eng",72,4,0,2002-07-15,"SparkNotes",2002,"51-150"
"731","Ruby Gloom's Guide to Friendship","Matt Riser/Martin Hsu",4.36,"9780810958623","eng",72,38,4,2005-05-01,"Harry N. Abrams",2005,"51-150"
"732","Wonder of the World","David Lindsay-Abaire",3.93,"9780822218630","eng",72,42,4,2003-12-31,"Dramatists Play Service  Inc.",2003,"51-150"
"733","Enchanted April: Acting Edition","Matthew Barber/Elizabeth von Arnim",3.61,"9780822219750","eng",73,67,6,2004-04-07,"Dramatists Play Service",2004,"51-150"
"734","In Praise of Shadows","Jun'ichirō Tanizaki/Thomas J. Harper/Edward G. Seidensticker",4.09,"9780099283577","eng",73,467,32,2001-05-03,"Vintage Classics",2001,"51-150"
"735","Discourse on the Origin of Inequality","Jean-Jacques Rousseau",3.82,"9780486434148","eng",73,9975,210,2004-06-04,"Dover Publications",2004,"51-150"
"736","Thanksgiving on Thursday (Magic Tree House  #27)","Mary Pope Osborne/Salvatore Murdocca",3.85,"9780375806155","eng",73,6361,209,2002-09-24,"Random House Books for Young Readers",2002,"51-150"
"737","The Sly Spy (Olivia Sharp  Agent for Secrets #3)","Marjorie Weinman Sharmat/Mitchell Sharmat/Denise Brunkus",3.85,"9780440420620","eng",74,51,7,2005-06-14,"Yearling Books",2005,"51-150"
"738","The Diamond Color Meditation: Color Pathway to the Soul","John  Diamond",5,"9781890995522","eng",74,5,3,2006-02-01,"Square One Publishers",2006,"51-150"
"739","Six Degrees of Separation","John Guare",4,"9780822210344","eng",74,242,14,1995-12-01,"Dramatists Play Service",1995,"51-150"
"740","Before Night Falls","Keith Gray",3.39,"9781842991244","eng",74,23,6,2007-09-01,"Barrington Stoke",2007,"51-150"
"741","Fantastic Mr Fox","David Wood/Roald Dahl",4.09,"9780573051333","en-GB",74,65,2,2011-01-05,"Samuel French Ltd",2011,"51-150"
"742","Oedipus Rex  (The Theban Plays  #1)","Sophocles/J.E. Thomas",3.7,"9781580495936","eng",75,141555,1776,2006-06-22,"Prestwick House - (Literary Touchstone Classic)",2006,"51-150"
"743","Cattus Petasatus: The Cat in the Hat in Latin","Dr. Seuss/Jennifer Morrish Tunberg/Terence Tunberg/Terence O. Tunberg/Guenevera Tunberg/Terentio Tunberg",4.17,"9780865164710","lat",75,63,9,2005-05-06,"Bolchazy-Carducci Publishers",2005,"51-150"
"744","Ghosts of Gettysburg III: Spirits  Apparitions  and Haunted Places of the Battlefield","Mark Nesbitt",4.03,"9780939631902","eng",75,111,3,1995-10-01,"Thomas Publications (PA)",1995,"51-150"
"745","Orlando: A Biography: Film Screenplay","Sally Potter/Virginia Woolf",4.07,"9780571172955","eng",75,84,7,2013-10-25,"Faber & Faber",2013,"51-150"
"746","Voting Rights Days (Hitty's Travels  #3)","Ellen Weiss/Betina Ogden",4.27,"9780689849121","eng",75,10,2,2002-03-01,"Aladdin Paperbacks",2002,"51-150"
"747","The Firm","Robin Waterfield/John Grisham",4.01,"9780582418271","eng",76,540910,3378,2000-02-15,"Addison Wesley Publishing Company",2000,"51-150"
"748","Holy the Firm","Annie Dillard",4.22,"9780060915438","eng",76,3722,339,1998-12-30,"Harper Perennial",1998,"51-150"
"749","The Rime of the Ancient Mariner and Other Poems","Samuel Taylor Coleridge/Stanley Appelbaum",3.94,"9780486272665","eng",76,3058,78,1992-09-18,"Dover Publications",1992,"51-150"
"750","The Art of Controversy (The Essays of Arthur Schopenhauer)","Thomas Bailey Saunders",3.85,"9781419161308","eng",76,17,3,2004-06-17,"Kessinger Publishing",2004,"51-150"
"751","You'll Have Had Your Hole","Irvine Welsh",3.51,"9780413728609","eng",76,227,5,1998-04-02,"Bloomsbury Methuen Drama",1998,"51-150"
"752","The Pigeon","Patrick Süskind",3.68,"9780140105834","eng",77,6254,423,1989-06-29,"Penguin",1989,"51-150"
"753","What Work Is","Philip Levine",4.27,"9780679740582","eng",77,2102,90,1992-04-21,"Knopf",1992,"51-150"
"754","El diablo de la botella","Robert Louis Stevenson/Diana Castellanos/Eleonora Garcia Larralde",3.74,"9789580408550","spa",77,34,2,2018-07-15,"Grupo Editorial Norma  S.A.",2018,"51-150"
"755","The Listener's Bible: NIV","Anonymous/Max McLean",4.6,"9781931047173","eng",77,28,3,2001-01-01,"Fellowship for the Performance",2001,"51-150"
"756","Katie's Big Move (Junior Gymnasts  #2)","Teddy Slater/Wayne Alfano",3.75,"9780590859981","eng",77,12,0,1996-12-31,"Scholastic",1996,"51-150"
"757","An Ideal Husband","Oscar Wilde",4.04,"9780486414232","eng",78,32946,895,2001-02-05,"Dover Publications",2001,"51-150"
"758","The Metamorphosis","Peter Kuper/Franz Kafka/Kerstin Hasenpusch",3.79,"9781400047956","eng",78,181,26,2003-08-05,"Crown",2003,"51-150"
"759","Amanda's Unlucky Day (Junior Gymnasts  #6)","Teddy Slater/Wayne Alfano",3.5,"9780590959889","eng",78,6,1,1997-12-31,"Apple",1997,"51-150"
"760","No Dress Rehearsal","Marian Keyes",3.29,"9781902602325","eng",79,780,52,2000-12-01,"New Island Books",2000,"51-150"
"761","Theogony / Works and Days","Hesiod/M.L. West",3.75,"9780192839411","eng",79,9276,163,1999-05-13,"Oxford University Press",1999,"51-150"
"762","Taxi Driver","Amy Taubin",3.93,"9780851703930","en-US",79,130,17,2000-03-28,"British Film Institute",2000,"51-150"
"763","P.S. I Love You Three!","Lynda Milligan/Nancy J. Smith",4.14,"9781880972472","eng",79,7,0,2002-12-01,"Possibilities",2002,"51-150"
"764","PS I Love You Baby Collection","Lynda Milligan/Nancy J. Smith",4.43,"9780962247729","en-US",79,7,0,1990-12-31,"Possibilities",1990,"51-150"
"765","When the Darkness Will Not Lift: Doing What We Can While We Wait for God—And Joy","John Piper",4.13,"9781581348767","eng",79,1279,126,2006-12-14,"Crossway Books",2006,"51-150"
"766","CliffsNotes on Tolstoy's Anna Karenina","Marianne Sturman/Leo Tolstoy",3.85,"9780822001836","eng",80,16,3,1965-11-26,"Cliffs Notes",1965,"51-150"
"767","Cliffs Notes on Aristophanes' Lysistrata  The Birds  The Clouds  The Frogs","W. John Campbell",2.8,"0049086007763","eng",80,5,0,1983-12-29,"Cliffs Notes",1983,"51-150"
"768","Cliffs Notes on Hemingway's The Old Man and the Sea","Jeanne Sallade Criswell/Gary Carey",2.83,"9780764586606","en-US",80,4,0,2000-12-05,"Cliffs Notes",2000,"51-150"
"769","Tom Hunter: Living in Hell and Other Stories","Tom Hunter/Tracy Chevalier/Colin Wiggins",3.64,"9781857093315","en-GB",80,42,0,2006-03-08,"National Gallery London",2006,"51-150"
"770","Escape from Fire Mountain (World of Adventure  #3)","Gary Paulsen/Steve Chorney",3.67,"9780440410256","eng",80,114,17,1995-01-01,"Yearling",1995,"51-150"
"771","The Trojan Women","Euripides/Gilbert Murray",3.89,"9781420927320","eng",80,4577,126,2006-01-01,"Digireads.com",2006,"51-150"
"772","The Pizza Monster (Olivia Sharp  Agent for Secrets #1)","Marjorie Weinman Sharmat/Mitchell Sharmat/Denise Brunkus",3.54,"9780440420590","eng",80,56,7,2005-05-10,"Yearling",2005,"51-150"
"773","Sad Underwear and Other Complications: More Poems for Children and Their Parents","Judith Viorst/Richard  Hull",3.91,"9780689833762","en-US",80,109,13,2000-04-01,"Atheneum Books for Young Readers",2000,"51-150"
"774","God Bless You  Dr. Kevorkian","Kurt Vonnegut Jr.",3.84,"9780743422000","eng",80,12754,558,2001-05-22,"Washington Square Press",2001,"51-150"
"775","Cliffs Notes on Hansberry's A Raisin in the Sun","Rosetta James",3.9,"9780822011088","en-GB",80,10,2,1992-08-15,"Cliffs Notes",1992,"51-150"
"776","Cliffs notes on Warren's All the King's Men","L. David Allen",3.45,"9780822001461","eng",80,3,1,1964-01-13,"Cliffs Notes",1964,"51-150"
"777","The Maps of Tolkien's Middle-earth","Brian Sibley/John  Howe/J.R.R. Tolkien",4.14,"9780618391103","eng",80,7649,31,2003-10-02,"Houghton Mifflin Harcourt",2003,"51-150"
"778","The Metamorphosis (Graphic Novel Adaptation)","Peter Kuper/Franz Kafka/Kerstin Hasenpusch",3.79,"9781400052998","eng",80,3192,307,2004-07-20,"Broadway Books",2004,"51-150"
"779","Laura's Album: A Remembrance Scrapbook of Laura Ingalls Wilder","William   Anderson/Laura Ingalls Wilder",4.3,"9780060278427","eng",80,746,48,1998-10-13,"HarperCollins",1998,"51-150"
"780","Christmas Stories (Little House Chapter Books: Laura  #10)","Laura Ingalls Wilder/Renée Graef/Heather Henson",4.21,"9780064420815","eng",80,66,7,1999-10-06,"HarperCollins",1999,"51-150"
"781","Planet of the Apes  Volume 1: Old Gods","Ian Edginton",2.62,"9781569716687","eng",80,8,2,2002-03-05,"Dark Horse Comics",2002,"51-150"
"782","Like Shaking Hands with God: A Conversation About Writing","Kurt Vonnegut Jr./Lee Stringer",3.72,"9780743410588","en-US",80,866,52,2000-12-01,"Washington Square Press",2000,"51-150"
"783","The Body","Stephen King/Robin Waterfield",4.25,"9780582418172","eng",80,29670,974,1999-12-20,"Penguin Books",1999,"51-150"
"784","Iain Banks' 'The Wasp Factory'  'The Crow Road' and 'Whit'","Alan MacGillivray",3.92,"9780948877483","eng",80,59,3,2001-04-19,"Association for Scottish Literary Studies",2001,"51-150"
"785","Henry IV","Luigi Pirandello/Tom Stoppard",3.91,"9780802141941","eng",80,650,21,2005-07-11,"Grove/Atlantic  Inc.",2005,"51-150"
"786","The Journey That Saved Curious George: The True Wartime Escape of Margret and H.A. Rey","Louise Borden/Allan Drummond",4.11,"9780618339242","eng",80,1136,224,2005-09-26,"HMH Books for Young Readers",2005,"51-150"
"787","Cliffs Notes on Wiesel's Night","Maryam Riess",3.4,"9780822008934","eng",80,5,1,1996-08-22,"Cliffs Notes",1996,"51-150"
"788","Cliffsnotes on Shakespeare's Henry IV  Part 1","James K. Lowers/William Shakespeare/CliffsNotes",3.88,"9780822000235","eng",80,17,0,1960-06-15,"Cliffs Notes",1960,"51-150"
"789","A Complicated Kindness (Bookclub-In-A-Box)","Marilyn Herbert/Miriam Toews",4,"9781897082270","eng",80,39,1,2006-08-30,"Bookclub-In-A-Box",2006,"51-150"
"790","The Case Of The Golden Key (Jigsaw Jones Mystery #19)","James Preller/Jamie  Smith",3.88,"9780439426282","eng",80,87,10,2002-09-01,"Scholastic Paperbacks",2002,"51-150"
"791","Little House Friends (Little House Chapter Books: Laura  #9)","Laura Ingalls Wilder/Renée Graef",4.04,"9780064420808","eng",80,73,2,1998-09-05,"HarperCollins",1998,"51-150"
"792","The Catcher in the Rye: Annotations and Study Aids","J.D. Salinger/Rudolph F. Rau",3.8,"9783125738089","eng",80,78,1,1999-12-01,"Klett",1999,"51-150"
"793","Encyclopedia Brown and the Case of the Sleeping Dog (Encyclopedia Brown  #21)","Donald J. Sobol/Warren Chang",4.04,"9780553485172","en-US",80,512,13,1999-09-07,"Yearling Books",1999,"51-150"
"794","The Storm (The Lighthouse Family  #1)","Cynthia Rylant/Preston McDaniels",4.18,"9780689848827","eng",80,445,86,2003-09-01,"Beach Lane Books",2003,"51-150"
"795","Aristotle's Ethics (SparkNotes Literature Guides)","SparkNotes",3,"9781586638221","eng",80,2,0,2003-06-13,"SparkNotes",2003,"51-150"
"796","Tale of Peter Rabbit","Beatrix Potter",4.18,"9780723249863","eng",80,17,2,2004-10-21,"Warne",2004,"51-150"
"797","The Tale of Peter Rabbit","Beatrix Potter",4.18,"9780723258735","eng",80,36,4,2006-12-28,"Warne",2006,"51-150"
"798","Cliffs Notes on Voltaire's Candide","James K. Lowers/CliffsNotes/Voltaire",3.4,"9780822002833","eng",80,9,3,1965-03-29,"Cliffs Notes",1965,"51-150"
"799","Santa Claus Doesn't Mop Floors (The Adventures of the Bailey School Kids  #3)","Debbie Dadey/Marcia Thornton Jones/John Steven Gurney",3.75,"9780590444774","en-US",80,1146,42,1991-10-01,"Scholastic Paperbacks",1991,"51-150"
"800","Vampires Don't Wear Polka Dots (The Adventures of the Bailey School Kids  #1)","Debbie Dadey/Marcia Thornton Jones/John Steven Gurney",3.81,"9780590434119","en-US",80,6983,215,1991-01-01,"Scholastic Paperbacks",1991,"51-150"
"801","Phantoms Don't Drive Sports Cars (The Adventures of the Bailey School Kids  #32)","Debbie Dadey/Marcia Thornton Jones/John Steven Gurney",3.76,"9780590189828","eng",80,408,18,1998-09-01,"Scholastic Paperbacks",1998,"51-150"
"802","Aesop's Fables","Aesop/Ann McGovern",4.05,"9780590438808","eng",80,108,10,1963-11-01,"Scholastic Paperbacks",1963,"51-150"
"803","The Mystery Play","Grant Morrison/Jon J. Muth",3.44,"9781563891892","en-US",80,688,40,1995-08-01,"Vertigo",1995,"51-150"
"804","Sit  Walk  Stand","Watchman Nee",4.42,"9780842358934","eng",80,2663,141,1977-11-04,"Tyndale House Publishers",1977,"51-150"
"805","Not Just a Pretty Face: Dolls and Human Figurines in Alaska Native Cultures","Molly C. Lee/Angela J. Linn/Chase Hensel/James H. Barker",3.5,"9781889963853","eng",80,2,0,2006-03-01,"University of Alaska Press",2006,"51-150"
"806","The Pleasure of the Text","Roland Barthes/Richard Miller",4.02,"9780224011877","eng",80,19,1,1976-02-12,"Jonathan Cape",1976,"51-150"
"807","CliffsNotes on Joyce's Dubliners (Cliffs Notes)","Adam  Sexton/G. Tubach",3.4,"9780764537158","eng",80,5,2,2003-04-25,"Cliffs Notes",2003,"51-150"
"808","A Faith Like Mine","Laura Buller/D.K. Publishing",3.91,"9780756611774","eng",80,50,19,2005-08-15,"DK Children",2005,"51-150"
"809","Amelia's 6th-Grade Notebook (Amelia's Notebooks  #15)","Marissa Moss",4.02,"9780689870408","en-US",80,625,30,2005-07-01,"Simon  Schuster/Paula Wiseman Books",2005,"51-150"
"810","The Case of the Snowboarding Superstar (Jigsaw Jones  #29)","James Preller/R.W. Alley/Jamie  Smith",3.98,"9780439793957","en-US",80,123,13,2006-01-01,"Scholastic",2006,"51-150"
"811","The Case Of The Kidnapped Candy (Jigsaw Jones Mystery #30)","James Preller/R.W. Alley/Jamie  Smith",3.75,"9780439896184","eng",80,104,6,2007-01-01,"Scholastic",2007,"51-150"
"812","The Case of the Marshmallow Monster (Jigsaw Jones  #11)","James Preller/R.W. Alley",3.92,"9780439184731","en-US",80,227,17,2001-03-01,"Scholastic Paperbacks",2001,"51-150"
"813","The Case of the Stinky Science Project (Jigsaw Jones  #9)","James Preller/John Speirs/James Preller",3.83,"9780439114288","en-US",80,162,11,2001-03-01,"Scholastic Paperbacks",2001,"51-150"
"814","The Case of the Mummy Mystery (Jigsaw Jones  #6)","James Preller/John Speirs/R.W. Alley",3.81,"9780439080941","en-US",80,327,22,2001-03-01,"Scholastic Paperbacks",2001,"51-150"
"815","The Jew of Malta","Christopher Marlowe/H. Havelock Ellis",3.6,"9780486431840","en-US",80,2963,120,2003-08-05,"Dover Publications",2003,"51-150"
"816","A Practical Guide to Dragons","Lisa Trumbauer/Emily Fiegenshuh",4.33,"9780786941643","eng",80,577,36,2006-09-26,"Mirrorstone",2006,"51-150"
"817","Inky The Indigo Fairy (Rainbow Magic  #6)","Daisy Meadows/Georgie Ripper",3.79,"9780439746854","en-US",80,2042,59,2006-01-01,"Scholastic Paperbacks",2006,"51-150"
"818","Sky The Blue Fairy (Rainbow Magic  #5)","Daisy Meadows/Georgie Ripper",3.83,"9780439746847","en-US",80,2267,82,2005-11-01,"Scholastic Paperbacks",2005,"51-150"
"819","Heather The Violet Fairy (Rainbow Magic  #7)","Daisy Meadows/Georgie Ripper",3.86,"9780439746861","en-US",80,2263,82,2006-02-01,"Scholastic Paperbacks",2006,"51-150"
"820","The Ties That Bind: Life's Most Essential Knots and Ties","Susan Oliver/Harry   Bates",3.67,"9781584793823","eng",80,3,1,2004-10-26,"Harry N. Abrams",2004,"51-150"
"821","The Umbrella of US Power: The Universal Declaration of Human Rights & the Contradictions of US Policy","Noam Chomsky/Greg Ruggiero",3.96,"9781583225479","en-US",80,155,7,2002-07-09,"Seven Stories Press",2002,"51-150"
"822","Incident at Vichy","Arthur  Miller",3.96,"9780140481938","eng",80,686,54,1985-04-02,"Penguin Books",1985,"51-150"
"823","Freedom Riders: John Lewis and Jim Zwerg on the Front Lines of the Civil Rights Movement","Ann Bausum",3.98,"9780792241737","eng",80,254,57,2005-12-27,"National Geographic Children's Books",2005,"51-150"
"824","Cliffs Notes on Billy Budd & Typee","Mary Ellen Snodgrass",3.5,"9780764539503","eng",80,3,0,2003-01-24,"Cliffs Notes",2003,"51-150"
"825","Uncle Shelby's ABZ Book","Shel Silverstein",4.36,"9780671211486","eng",80,2550,222,1985-09-09,"Gallery Books",1985,"51-150"
"826","The Hundred Dresses","Eleanor Estes/Louis Slobodkin",4.09,"9780152052607","eng",80,30311,2306,2004-09-01,"HMH Books for Young Readers",2004,"51-150"
"827","Cliffs Notes on Hemingway's The Sun Also Rises","Gary K. Carey",3.5,"9780822012375","eng",80,14,2,1964-05-20,"Cliffs Notes",1964,"51-150"
"828","Happy Endings: Finishing the Edges of Your Quilts","Mimi Dietrich",4.25,"9781564775009","en-US",80,24,3,2013-06-04,"That Patchwork Place",2013,"51-150"
"829","The Heidi Chronicles","Wendy Wasserstein",3.75,"9780822205104","eng",81,1423,70,2002-03-01,"Dramatists Play Service",2002,"51-150"
"830","The Frequencies","Noah Eli Gordon",4.32,"9780974016719","eng",81,69,8,2003-01-01,"Tougher Disguises",2003,"51-150"
"831","The Tale of Genji","Yoshitaka Amano/Murasaki Shikibu/Rachel Nacth/Anri Itō/Junichi Imura",4.05,"9781595820631","eng",81,475,37,2006-08-08,"Dark Horse Books",2006,"51-150"
"832","Dawn (The Night Trilogy  #2)","Elie Wiesel/Frances Frenaye",3.87,"9780809037728","eng",81,12576,975,2006-03-21,"Hill & Wang",2006,"51-150"
"833","Electric Light","Seamus Heaney",3.94,"9780571207985","en-GB",81,30,2,2001-03-19,"Faber and Faber",2001,"51-150"
"834","The Gospel According to Luke","Anonymous/Thomas Cahill",4.64,"9780802136183","eng",81,169,17,1999-10-29,"Grove Press",1999,"51-150"
"835","Pygmalion","George Bernard Shaw",3.9,"9780486282220","eng",82,76944,1636,1994-10-20,"Dover Publications",1994,"51-150"
"836","Greek Lyrics","Richmond Lattimore",3.98,"9780226469447","eng",82,234,21,1960-09-15,"University of Chicago Press",1960,"51-150"
"837","The Spirit Level: Poems","Seamus Heaney",4.14,"9780374525118","eng",82,94,12,1997-04-10,"Farrar  Straus and Giroux",1997,"51-150"
"838","Willem de Kooning: Late Paintings","Julie Sylvester/David Sylvester",5,"9783829602266","eng",83,1,0,2006-09-01,"Schirmer Mosel",2006,"51-150"
